date, open, high, low, close, adjusted close, volume, dividend amount, split coefficient,ticker
2020-11-03,40.46,42.97,39.11,42.0,42.0,139796,0.0000,1.0,ALXO
2020-11-02,39.67,41.3,38.57,40.22,40.22,95536,0.0000,1.0,ALXO
2020-10-30,39.89,40.74,38.09,39.51,39.51,47620,0.0000,1.0,ALXO
2020-10-29,39.94,40.66,39.3,39.93,39.93,32420,0.0000,1.0,ALXO
2020-10-28,40.06,40.75,38.7576,40.14,40.14,80083,0.0000,1.0,ALXO
2020-10-27,41.53,42.68,40.49,40.81,40.81,105750,0.0000,1.0,ALXO
2020-10-26,41.65,42.31,40.01,41.56,41.56,54656,0.0000,1.0,ALXO
2020-10-23,42.0,42.37,40.65,41.76,41.76,53041,0.0000,1.0,ALXO
2020-10-22,42.72,44.5929,40.68,41.0,41.0,55567,0.0000,1.0,ALXO
2020-10-21,43.46,46.6333,42.01,42.69,42.69,143207,0.0000,1.0,ALXO
2020-10-20,41.73,43.5,38.55,43.18,43.18,119353,0.0000,1.0,ALXO
2020-10-19,44.09,44.69,41.32,41.57,41.57,118219,0.0000,1.0,ALXO
2020-10-16,39.05,45.25,38.01,43.1,43.1,601615,0.0000,1.0,ALXO
2020-10-15,37.09,39.72,36.61,39.1,39.1,201455,0.0000,1.0,ALXO
2020-10-14,36.5,39.37,36.335,37.43,37.43,167787,0.0000,1.0,ALXO
2020-10-13,35.85,36.7535,35.7103,36.2,36.2,98413,0.0000,1.0,ALXO
2020-10-12,36.23,36.56,35.55,36.4,36.4,43958,0.0000,1.0,ALXO
2020-10-09,36.55,36.9799,35.15,35.66,35.66,61170,0.0000,1.0,ALXO
2020-10-08,36.55,36.825,34.91,36.25,36.25,92045,0.0000,1.0,ALXO
2020-10-07,36.62,37.115,35.29,36.15,36.15,373134,0.0000,1.0,ALXO
2020-10-06,35.15,36.49,34.31,36.2,36.2,207754,0.0000,1.0,ALXO
2020-10-05,34.99,35.885,33.0,34.79,34.79,113244,0.0000,1.0,ALXO
2020-10-02,33.54,35.46,32.51,34.63,34.63,101977,0.0000,1.0,ALXO
2020-10-01,37.78,38.1167,33.365,34.11,34.11,548781,0.0000,1.0,ALXO
2020-09-30,38.37,38.9705,36.365,37.74,37.74,84590,0.0000,1.0,ALXO
2020-09-29,39.68,42.34,37.78,38.26,38.26,83082,0.0000,1.0,ALXO
2020-09-28,39.3699,41.5,38.995,39.78,39.78,83342,0.0000,1.0,ALXO
2020-09-25,39.29,40.595,37.71,39.07,39.07,80242,0.0000,1.0,ALXO
2020-09-24,39.2,39.47,36.66,39.22,39.22,136898,0.0000,1.0,ALXO
2020-09-23,37.05,39.97,36.415,39.29,39.29,97361,0.0000,1.0,ALXO
2020-09-22,37.68,38.6957,36.29,37.08,37.08,218828,0.0000,1.0,ALXO
2020-09-21,37.0,37.7361,34.19,37.14,37.14,213810,0.0000,1.0,ALXO
2020-09-18,38.56,39.93,36.51,37.36,37.36,1623884,0.0000,1.0,ALXO
2020-09-17,39.52,40.225,38.02,38.22,38.22,246343,0.0000,1.0,ALXO
2020-09-16,39.56,41.45,38.995,39.74,39.74,408035,0.0000,1.0,ALXO
2020-09-15,39.62,43.84,38.12,39.06,39.06,126654,0.0000,1.0,ALXO
2020-09-14,39.89,41.805,38.14,39.24,39.24,109227,0.0000,1.0,ALXO
2020-09-11,40.54,42.79,37.43,39.43,39.43,90496,0.0000,1.0,ALXO
2020-09-10,43.46,44.49,39.57,40.35,40.35,90103,0.0000,1.0,ALXO
2020-09-09,44.41,48.2,42.4,42.56,42.56,129224,0.0000,1.0,ALXO
2020-09-08,42.5,44.7,41.58,43.84,43.84,116229,0.0000,1.0,ALXO
2020-09-04,41.49,44.5,41.49,42.99,42.99,64340,0.0000,1.0,ALXO
2020-09-03,44.16,44.2,41.33,41.7,41.7,53997,0.0000,1.0,ALXO
2020-09-02,41.69,45.45,41.1,44.16,44.16,68800,0.0000,1.0,ALXO
2020-09-01,40.34,43.44,39.08,41.75,41.75,90514,0.0000,1.0,ALXO
2020-08-31,44.59,47.5738,38.12,40.44,40.44,193831,0.0000,1.0,ALXO
2020-08-28,45.5,45.5,43.5802,44.25,44.25,53170,0.0000,1.0,ALXO
2020-08-27,43.05,45.21,42.76,44.08,44.08,36748,0.0000,1.0,ALXO
2020-08-26,44.74,45.5,43.08,43.39,43.39,37626,0.0000,1.0,ALXO
2020-08-25,43.75,45.5,42.265,43.97,43.97,58559,0.0000,1.0,ALXO
2020-08-24,45.06,45.9847,41.3,43.63,43.63,116516,0.0000,1.0,ALXO
2020-08-21,43.91,46.8854,42.535,45.07,45.07,116445,0.0000,1.0,ALXO
2020-08-20,45.06,47.8,43.2542,43.76,43.76,94437,0.0000,1.0,ALXO
2020-08-19,42.99,51.9998,41.53,44.46,44.46,125714,0.0000,1.0,ALXO
2020-08-18,46.35,49.11,40.06,42.85,42.85,147749,0.0000,1.0,ALXO
2020-08-17,44.64,48.4346,44.64,47.1,47.1,77789,0.0000,1.0,ALXO
2020-08-14,44.24,47.045,42.855,45.44,45.44,85462,0.0000,1.0,ALXO
2020-08-13,43.33,47.805,43.12,44.01,44.01,88865,0.0000,1.0,ALXO
2020-08-12,41.84,47.77,40.8858,42.88,42.88,130448,0.0000,1.0,ALXO
2020-08-11,43.5,44.6899,40.62,41.02,41.02,115698,0.0000,1.0,ALXO
2020-08-10,44.76,45.06,42.89,43.36,43.36,90006,0.0000,1.0,ALXO
2020-08-07,43.9,44.4999,41.5,44.19,44.19,67977,0.0000,1.0,ALXO
2020-08-06,42.77,44.69,40.6995,43.96,43.96,89598,0.0000,1.0,ALXO
2020-08-05,37.62,50.0,36.51,43.26,43.26,61401,0.0000,1.0,ALXO
2020-08-04,36.74,38.7,36.52,38.0,38.0,51229,0.0000,1.0,ALXO
2020-08-03,32.46,37.58,30.06,36.42,36.42,270066,0.0000,1.0,ALXO
2020-07-31,32.63,32.92,30.76,32.7,32.7,25042,0.0000,1.0,ALXO
2020-07-30,31.75,33.5,31.75,32.46,32.46,87061,0.0000,1.0,ALXO
2020-07-29,32.29,33.115,29.06,31.65,31.65,71111,0.0000,1.0,ALXO
2020-07-28,29.3,32.91,29.3,32.6,32.6,35862,0.0000,1.0,ALXO
2020-07-27,30.24,30.395,29.5,29.9,29.9,98126,0.0000,1.0,ALXO
2020-07-24,29.24,30.86,29.095,30.25,30.25,72117,0.0000,1.0,ALXO
2020-07-23,29.34,30.25,28.01,29.7,29.7,72035,0.0000,1.0,ALXO
2020-07-22,30.91,31.34,29.14,29.36,29.36,170041,0.0000,1.0,ALXO
2020-07-21,32.25,32.49,28.25,30.77,30.77,483117,0.0000,1.0,ALXO
2020-07-20,30.44,32.99,29.25,30.33,30.33,455419,0.0000,1.0,ALXO
2020-07-17,36.5,37.577,29.02,30.0,30.0,1594878,0.0000,1.0,ALXO
