t,o,c,h,l,s,v,Ticker,RSI
1652140800,6.88,6.94,7.1793,6.8151,ok,23722.0,GIPR,
1652227200,7.05,6.7787,7.1247,6.7787,ok,16403.0,GIPR,
1652313600,6.49,6.69,7.0582,6.49,ok,20582.0,GIPR,
1652400000,6.92,6.67,6.92,6.5101,ok,28483.0,GIPR,
1652659200,6.56,6.57,6.8,6.475,ok,23932.0,GIPR,
1652745600,6.35,6.3,6.88,6.3,ok,11339.0,GIPR,
1652832000,6.74,6.25,6.74,6.2001,ok,12352.0,GIPR,
1652918400,6.3,6.595,6.71,6.3,ok,1779.0,GIPR,
1653004800,6.65,6.39,6.65,6.1701,ok,42853.0,GIPR,
1653264000,6.79,6.28,6.79,6.27,ok,11431.0,GIPR,
1653350400,6.41,6.6,6.6771,6.31,ok,5737.0,GIPR,
1653436800,6.6,6.4,6.6,6.35,ok,9563.0,GIPR,
1653523200,6.55,6.38,6.6,6.25,ok,7393.0,GIPR,
1653609600,6.3,6.75,6.8,6.3,ok,26837.0,GIPR,45.79646017699113
1653955200,6.85,6.78,6.85,6.595,ok,8547.0,GIPR,46.50655021834061
1654041600,6.8,6.89,6.98,6.76,ok,9158.0,GIPR,52.485817662036006
1654128000,6.96,6.98,6.99,6.79,ok,8450.0,GIPR,56.473214285714285
1654214400,6.94,6.8527,7.0,6.8001,ok,6091.0,GIPR,53.89170536360924
1654473600,6.76,6.81,6.9085,6.76,ok,3338.0,GIPR,55.24017467248907
1654560000,6.73,6.75,6.95,6.73,ok,10039.0,GIPR,60.8173076923077
1654646400,6.7601,6.76,6.9272,6.76,ok,3610.0,GIPR,62.50000000000001
1654732800,6.76,6.7718,6.825,6.56,ok,17241.0,GIPR,55.1792828685259
1654819200,6.8,6.65,6.8,6.6,ok,3131.0,GIPR,58.00689825080072
1655078400,6.6,6.59,6.74,6.39,ok,22190.0,GIPR,59.85002541942042
1655164800,6.5,6.29,6.74,6.2203,ok,14797.0,GIPR,40.02317198764162
1655251200,6.7,6.5,6.7,6.3201,ok,16173.0,GIPR,53.19774878485545
1655337600,6.5,6.41,6.5,6.3,ok,7395.0,GIPR,50.91821743388836
1655424000,6.2,6.21,6.275,6.2,ok,12793.0,GIPR,31.552336704017492
1655769600,6.2,6.29,6.67,6.2,ok,20732.0,GIPR,33.813424947145876
1655856000,6.26,6.4,6.56,6.22,ok,19997.0,GIPR,33.813424947145904
1655942400,6.52,6.305,6.6,6.305,ok,7713.0,GIPR,27.77558277360727
1656028800,6.21,6.27,6.39,6.21,ok,8330.0,GIPR,29.57302110355465
1656288000,6.39,6.38,6.39,6.345,ok,5906.0,GIPR,35.6052490626674
1656374400,6.36,6.36,6.42,6.36,ok,10510.0,GIPR,36.585030269675315
1656460800,6.4,6.4,6.4,6.2101,ok,8548.0,GIPR,37.867349689943396
1656547200,6.39,6.39,6.4,6.25,ok,4689.0,GIPR,37.11701984073425
1656633600,6.4,6.3723,6.4,6.345,ok,4860.0,GIPR,39.92160847789795
1656979200,6.4,6.8247,6.846,6.3999,ok,9704.0,GIPR,56.62956895090673
1657065600,6.755,6.77,6.95,6.66,ok,3774.0,GIPR,65.73976915005244
1657152000,6.93,6.64,6.93,6.51,ok,11271.0,GIPR,54.844961240310056
1657238400,7.01,6.8,7.01,6.6433,ok,7209.0,GIPR,62.87298653287559
1657497600,7.3,6.81,7.3,6.81,ok,49025.0,GIPR,72.64492753623185
1657584000,6.99,6.41,6.99,6.41,ok,15115.0,GIPR,53.647859922178995
1657670400,6.5,6.55,6.86,6.31,ok,22995.0,GIPR,54.47814664437543
1657756800,6.56,6.06,6.56,6.03,ok,27669.0,GIPR,44.08155377331143
1657843200,6.2,6.3019,6.4652,6.2,ok,1907.0,GIPR,50.70057539421094
1658102400,6.41,6.4,6.49,6.21,ok,8154.0,GIPR,50.44154009184036
1658188800,6.46,6.395,6.46,6.25,ok,8330.0,GIPR,50.77784691972619
1658275200,6.42,6.28,6.42,6.25,ok,5779.0,GIPR,47.41913282863041
1658361600,6.21,6.288,6.41,6.21,ok,3260.0,GIPR,47.8043740313415
1658448000,6.15,6.236,6.32,6.15,ok,997.0,GIPR,47.108735310338965
1658707200,6.4,6.2,6.44,6.18,ok,6357.0,GIPR,33.90529190498275
1658793600,6.16,6.23,6.2438,6.16,ok,2414.0,GIPR,35.90814196242174
1658880000,6.31,6.1153,6.322,6.1,ok,20688.0,GIPR,36.19719050875995
1658966400,6.23,6.15,6.23,6.08,ok,4343.0,GIPR,31.694266080883196
1659052800,6.19,6.1677,6.19,5.93,ok,66218.0,GIPR,31.989232235993498
1659312000,5.95,6.12,6.19,5.93,ok,27899.0,GIPR,39.86580933743361
1659398400,6.02,6.035,6.0597,5.96,ok,13773.0,GIPR,31.283616804768158
1659484800,6.0,6.0,6.0001,5.93,ok,19542.0,GIPR,46.741963509991336
1659571200,6.05,5.99,6.0515,5.93,ok,9746.0,GIPR,27.36246189577591
1659657600,6.0,5.975,6.05,5.95,ok,10972.0,GIPR,14.922416639154804
1659916800,6.1,5.9102,6.1,5.9,ok,20219.0,GIPR,13.581730769230745
1660003200,5.98,5.9987,6.0,5.8558,ok,14275.0,GIPR,27.992489438272614
1660089600,5.92,5.995,6.0,5.85,ok,29307.0,GIPR,26.92186515437936
1660176000,5.91,6.05,6.11,5.91,ok,25377.0,GIPR,35.4186265286924
1660262400,6.135,6.0,6.15,5.8608,ok,20717.0,GIPR,34.657870512427124
1660521600,5.86,5.92,6.0596,5.86,ok,10713.0,GIPR,27.913935594186356
1660608000,5.9291,5.925,5.98,5.8653,ok,12316.0,GIPR,33.93007937848331
1660694400,5.9,5.75,5.98,5.7,ok,26231.0,GIPR,22.69251774986344
1660780800,5.93,5.8852,5.93,5.83,ok,7258.0,GIPR,33.38039769384636
1660867200,5.83,5.87,5.9405,5.83,ok,7578.0,GIPR,34.70760949351606
1661126400,5.77,5.8,5.85,5.72,ok,28445.0,GIPR,35.35643070787637
1661212800,5.71,5.75,5.7999,5.71,ok,3797.0,GIPR,34.70760949351606
1661299200,5.84,5.76,5.84,5.755,ok,8127.0,GIPR,35.93100073403474
1661385600,5.72,5.85,5.9484,5.72,ok,14631.0,GIPR,42.996414164052
1661472000,5.97,5.89,5.97,5.835,ok,4909.0,GIPR,48.83586906408483
1661731200,5.9,6.0993,6.1,5.9,ok,59715.0,GIPR,55.08903278025092
