t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,1.7,1.71,1.78,1.7,ok,52210.0,YQ,,1.7299999999999998,90323.29999999999,52210.0,1.7299999999999998
1652227200,1.76,1.52,1.76,1.51,ok,44137.0,YQ,,1.5966666666666667,70472.07666666666,96347.0,0.731440280098671
1652313600,1.53,1.62,1.7,1.475,ok,65508.0,YQ,,1.5983333333333334,104703.62000000001,161855.0,0.6468976553087641
1652400000,1.57,1.81,1.84,1.57,ok,61596.0,YQ,,1.7400000000000002,107177.04000000001,223451.0,0.4796444858156822
1652659200,1.8,1.82,1.9087,1.78,ok,37138.0,YQ,,1.8362333333333334,68194.03353333334,260589.0,0.2616919115286268
1652745600,1.85,1.88,1.97,1.84,ok,29263.0,YQ,,1.8966666666666665,55502.15666666666,289852.0,0.19148447023538448
1652832000,1.87,1.79,1.92,1.76,ok,62443.0,YQ,,1.8233333333333333,113854.40333333332,352295.0,0.323179163295912
1652918400,1.8,1.87,1.93,1.7,ok,72091.0,YQ,,1.8333333333333333,132166.8333333333,424386.0,0.3114307100925415
1653004800,1.92,1.8,1.98,1.8,ok,46530.0,YQ,,1.86,86545.8,470916.0,0.18378182096170018
1653264000,1.81,1.79,1.94,1.75,ok,41851.0,YQ,,1.8266666666666669,76447.82666666668,512767.0,0.14908881941830632
1653350400,1.72,1.79,1.81,1.71,ok,23768.0,YQ,,1.7700000000000002,42069.36000000001,536535.0,0.07840934887751966
1653436800,1.79,1.8,1.94,1.73,ok,26515.0,YQ,,1.8233333333333333,48345.683333333334,563050.0,0.08586392564307492
1653523200,1.8,1.86,1.99,1.71,ok,36573.0,YQ,,1.8533333333333335,67781.96,599623.0,0.11304096073699642
1653609600,1.88,1.99,2.02,1.88,ok,32349.0,YQ,64.0,1.9633333333333332,63511.869999999995,631972.0,0.10049791762926205
1653955200,2.14,2.12,2.18,2.0344,ok,65211.0,YQ,68.14159292035399,2.111466666666667,137690.85280000002,697183.0,0.1974959986115554
1654041600,2.14,2.08,2.2,2.0,ok,28057.0,YQ,78.57142857142858,2.0933333333333333,58732.65333333333,725240.0,0.08098374790873825
1654128000,2.06,2.17,2.3899,2.06,ok,56154.0,YQ,78.35051546391753,2.206633333333333,123911.28819999998,781394.0,0.15857721994282012
1654214400,2.14,2.04,2.2,2.0,ok,31672.0,YQ,62.63736263736264,2.08,65877.76000000001,813066.0,0.08102387752039811
1654473600,2.12,2.33,2.33,2.12,ok,50753.0,YQ,71.42857142857143,2.2600000000000002,114701.78000000001,863819.0,0.13278450693953248
1654560000,2.19,2.41,2.45,2.19,ok,51138.0,YQ,71.900826446281,2.35,120174.3,914957.0,0.13134420524680396
1654646400,2.6,2.82,3.74,2.4,ok,853899.0,YQ,83.66013071895425,2.986666666666667,2550311.68,1768856.0,1.4417859226528333
1654732800,2.72,3.05,3.2732,2.55,ok,227480.0,YQ,85.11904761904762,2.9577333333333335,672825.1786666667,1996336.0,0.3370300283452619
1654819200,3.1,2.4,3.12,2.19,ok,352949.0,YQ,63.27433628318584,2.5700000000000003,907078.93,2349285.0,0.38610850961037085
1655078400,2.56,1.93,2.56,1.93,ok,240040.0,YQ,52.57352941176471,2.14,513685.60000000003,2589325.0,0.1983859113861721
1655164800,1.96,2.06,2.23,1.95,ok,145593.0,YQ,54.736842105263165,2.08,302833.44,2734918.0,0.11072852641285771
1655251200,2.07,2.04,2.15,1.98,ok,78776.0,YQ,54.1958041958042,2.0566666666666666,162015.97333333333,2813694.0,0.05758123425409207
1655337600,2.04,1.9,2.04,1.82,ok,117721.0,YQ,50.68027210884354,1.92,226024.31999999998,2931415.0,0.07710416982924628
1655424000,2.0,1.94,2.08,1.9,ok,81638.0,YQ,49.122807017543856,1.9733333333333334,161098.98666666666,3013053.0,0.05346702718693188
1655769600,2.0,2.08,2.115,1.95,ok,54752.0,YQ,49.3006993006993,2.0483333333333333,112150.34666666666,3067805.0,0.03655719534542341
1655856000,1.96,2.1,2.1,1.954,ok,28034.0,YQ,50.352112676056336,2.0513333333333335,57507.07866666667,3095839.0,0.018575603791626975
1655942400,2.1,2.03,2.11,1.96,ok,32825.0,YQ,47.51773049645389,2.033333333333333,66744.16666666666,3128664.0,0.02133312067600313
1656028800,2.06,1.76,2.06,1.75,ok,232394.0,YQ,45.270270270270274,1.8566666666666667,431478.19333333336,3361058.0,0.12837570590371644
1656288000,1.84,1.8,1.86,1.6872,ok,129424.0,YQ,40.221402214022135,1.7824,230685.3376,3490482.0,0.06608982301011723
1656374400,1.83,1.87,1.9212,1.83,ok,117809.0,YQ,39.99999999999999,1.8737333333333333,220742.65026666666,3608291.0,0.061176509950740296
1656460800,1.84,1.88,1.9,1.7715,ok,87501.0,YQ,29.56521739130436,1.8505,161920.6005,3695792.0,0.04381215190140571
1656547200,1.82,1.97,1.995,1.7602,ok,85116.0,YQ,25.00000000000001,1.9084,162435.3744,3780908.0,0.04296200129704293
