t,o,c,h,l,s,v,Ticker
1652140800,3.98,3.83,4.03,3.555,ok,1801407.0,YELL
1652227200,3.81,3.56,3.995,3.48,ok,1290177.0,YELL
1652313600,3.53,3.76,3.89,3.53,ok,1557989.0,YELL
1652400000,3.82,3.77,4.03,3.765,ok,1094192.0,YELL
1652659200,3.74,3.42,3.76,3.37,ok,1574797.0,YELL
1652745600,3.66,4.32,4.33,3.66,ok,3616293.0,YELL
1652832000,4.25,3.76,4.2594,3.71,ok,2045926.0,YELL
1652918400,3.85,3.63,3.8781,3.595,ok,1186425.0,YELL
1653004800,3.74,3.6,3.74,3.36,ok,1306499.0,YELL
1653264000,3.69,3.58,3.75,3.49,ok,793777.0,YELL
1653350400,3.55,3.31,3.55,3.26,ok,984307.0,YELL
1653436800,3.34,3.47,3.52,3.27,ok,982169.0,YELL
1653523200,3.5,3.78,3.81,3.45,ok,1119952.0,YELL
1653609600,3.81,3.8,3.9,3.735,ok,632292.0,YELL
1653955200,3.83,3.78,3.85,3.64,ok,706540.0,YELL
1654041600,3.79,3.69,3.85,3.54,ok,826426.0,YELL
1654128000,3.67,4.09,4.12,3.65,ok,1004194.0,YELL
1654214400,4.04,3.97,4.09,3.9201,ok,732888.0,YELL
1654473600,4.14,4.05,4.2,3.98,ok,1072971.0,YELL
1654560000,3.96,3.99,4.04,3.82,ok,928040.0,YELL
1654646400,4.0,3.7,4.0,3.65,ok,909659.0,YELL
1654732800,3.67,3.73,3.8299,3.59,ok,1533922.0,YELL
1654819200,3.6,3.54,3.71,3.4,ok,1209491.0,YELL
1655078400,3.33,3.26,3.405,3.18,ok,1115506.0,YELL
1655164800,3.33,3.39,3.42,3.23,ok,1064835.0,YELL
1655251200,3.46,3.39,3.5204,3.3,ok,1243008.0,YELL
1655337600,3.23,2.83,3.26,2.82,ok,2606023.0,YELL
1655424000,2.91,2.97,3.1,2.82,ok,3330057.0,YELL
1655769600,3.05,3.1,3.2199,2.94,ok,1212629.0,YELL
1655856000,3.03,3.12,3.265,3.03,ok,1106683.0,YELL
1655942400,3.14,3.2,3.22,3.035,ok,969148.0,YELL
1656028800,3.24,3.44,3.605,3.21,ok,7255009.0,YELL
1656288000,3.51,3.41,3.595,3.33,ok,963538.0,YELL
1656374400,3.44,3.17,3.61,3.15,ok,1048619.0,YELL
1656460800,3.16,3.01,3.22,2.94,ok,1167153.0,YELL
1656547200,2.94,2.93,3.035,2.875,ok,739102.0,YELL
1656633600,2.93,3.04,3.08,2.88,ok,820645.0,YELL
1656979200,2.95,3.2,3.215,2.9008,ok,1489778.0,YELL
1657065600,3.2,3.14,3.265,3.0,ok,736384.0,YELL
1657152000,3.2,3.26,3.29,3.115,ok,750308.0,YELL
1657238400,3.22,3.34,3.415,3.165,ok,712446.0,YELL
1657497600,3.31,3.28,3.37,3.26,ok,428921.0,YELL
1657584000,3.27,3.52,3.685,3.27,ok,1161605.0,YELL
1657670400,3.52,3.35,3.52,3.25,ok,783445.0,YELL
1657756800,3.3,3.29,3.325,3.16,ok,777949.0,YELL
1657843200,3.35,3.28,3.435,3.28,ok,545441.0,YELL
1658102400,3.35,3.38,3.495,3.31,ok,515942.0,YELL
1658188800,3.45,3.82,3.84,3.4,ok,1076575.0,YELL
1658275200,3.81,4.14,4.19,3.78,ok,1375753.0,YELL
1658361600,4.13,4.19,4.28,4.01,ok,988361.0,YELL
1658448000,4.19,4.03,4.27,3.935,ok,557272.0,YELL
1658707200,4.11,4.09,4.115,3.945,ok,367089.0,YELL
1658793600,4.02,4.09,4.15,3.88,ok,1538022.0,YELL
1658880000,4.14,4.35,4.4277,3.9618,ok,1118541.0,YELL
1658966400,4.37,4.82,4.85,4.365,ok,1001431.0,YELL
1659052800,4.8,4.82,4.91,4.68,ok,637685.0,YELL
1659312000,4.78,4.74,4.88,4.62,ok,636095.0,YELL
1659398400,4.69,4.55,4.835,4.53,ok,559856.0,YELL
1659484800,4.57,4.71,4.83,4.565,ok,1592459.0,YELL
1659571200,6.45,6.7,7.44,6.05,ok,7851953.0,YELL
1659657600,6.76,7.48,7.59,6.68,ok,3525250.0,YELL
1659916800,7.49,7.39,7.7,7.26,ok,1801820.0,YELL
1660003200,7.39,7.2,7.56,7.15,ok,1376889.0,YELL
1660089600,7.49,7.91,8.0,7.37,ok,1634541.0,YELL
1660176000,8.01,7.81,8.505,7.67,ok,1483818.0,YELL
1660262400,7.86,7.6,7.9099,7.36,ok,1140355.0,YELL
1660521600,7.6,7.18,7.62,6.97,ok,1592516.0,YELL
1660608000,7.11,7.15,7.305,7.03,ok,938810.0,YELL
1660694400,7.1,6.78,7.1,6.63,ok,1323191.0,YELL
1660780800,6.89,7.28,7.29,6.68,ok,1112049.0,YELL
1660867200,7.19,7.12,7.21,6.94,ok,705498.0,YELL
1661126400,6.82,7.08,7.135,6.72,ok,835225.0,YELL
1661212800,7.28,7.47,7.82,7.18,ok,1177884.0,YELL
1661299200,7.51,7.45,7.89,7.45,ok,913379.0,YELL
1661385600,7.53,7.55,7.6603,7.415,ok,470079.0,YELL
1661472000,7.69,7.19,7.82,7.17,ok,658013.0,YELL
1661731200,7.09,6.83,7.09,6.82,ok,796344.0,YELL
1661817600,6.89,6.58,6.98,6.34,ok,1697850.0,YELL
1661904000,6.63,6.28,6.73,6.22,ok,1259576.0,YELL
1661990400,6.21,6.44,6.44,5.95,ok,864187.0,YELL
1662076800,6.5,6.2,6.5612,6.14,ok,859614.0,YELL
1662422400,6.19,6.34,6.45,6.09,ok,783891.0,YELL
1662508800,6.32,6.12,6.32,6.0179,ok,680308.0,YELL
1662595200,6.06,6.1,6.21,6.0,ok,658520.0,YELL
1662681600,6.2,6.11,6.36,6.075,ok,558487.0,YELL
1662940800,6.18,6.43,6.51,6.18,ok,716496.0,YELL
1663027200,6.1,5.9,6.18,5.845,ok,922799.0,YELL
1663113600,5.93,6.49,6.52,5.76,ok,1440089.0,YELL
1663200000,6.3,5.79,6.3,5.73,ok,1488442.0,YELL
1663286400,5.51,5.19,5.51,5.14,ok,1020519.0,YELL
1663545600,5.15,5.37,5.48,5.15,ok,530134.0,YELL
1663632000,5.27,5.33,5.43,5.1399,ok,1264603.0,YELL
1663718400,5.42,5.33,5.6041,5.315,ok,544270.0,YELL
1663804800,5.35,5.2,5.35,5.16,ok,435911.0,YELL
1663891200,5.01,4.85,5.095,4.75,ok,897696.0,YELL
